user,date,post
seltzermint555,"May 15, 2019 2:22PM","Breakfast: hard boiled egg, toaster waffle with sugar free syrup, coffee
Lunch: leftover pineapple fried rice with edamame
Dinner: black beans with salsa, sour cream, sautéed peppers & onions. Low-sugar rhubarb tart with whipped topping."
tmpecus78,"May 15, 2019 2:26PM","Today's meal will consist of: 6 whole eggs cooked in grass fed butter, 10oz grass fed beef, & 2oz cheese. Followed by a bowl of some homemade chocolate keto ice cream topped with peanut butter."
NewLIFEstyle4ME,"May 15, 2019 5:32PM","Breakfast:
Avocalado smoothie (an avocado, big hands full of baby spinach and kale, frozen mango chunks, frozen pineapple chunks, frozen blueberries, blueberry kefir, dole pina colada juice)
Lunch:
2 roasted dandelion root tea, 1 milk oolong tea,
Dinner:
2 thin smothered pork chops, rice and gravy, lightly sauteed baby spinach, steamed broccoli and water to drink
Dessert and/or late night snack:
cup of mint chocolate ice cream, 2 oranges"
NewLIFEstyle4ME,"May 16, 2019 6:41PM","Breakfast:
1 cup of roasted dandelion root tea, 1 cup of milk oolong tea, 1 cup of Emperor Puh Erh tea
Lunch:
grilled cheese, honey turkey and black forest ham sandwich, tomato bisque soup, 2oz of TJ 100% cherry juice
Dinner:
Tuna/egg salad on ritz crackers, red, black and green grapes, water to drink
Dessert and/or late night snack:
green olives stuffed with garlic, black olives and maybe a cup of chocolate ice cream"
seltzermint555,"May 16, 2019 6:56PM","Breakfast: boiled egg, 1/2 avocado, 2 oz raspberries, coffee
Lunch: tuna melt with lots of onion, large serving broccoli, Gala apple
Dinner: homemade pizza on a thin wheat crust with peppers, mushrooms & onions, light on the sauce & provolone cheese. 1 slice low-sugar rhubarb tart with a cup of green jasmine tea."
NewLIFEstyle4ME,"May 17, 2019 3:39PM","Breakfast:
2 cup of Emperor Pu Erh Tea, 1 cup of white rose tea
Lunch:
1 cup of roasted garlic tea, 1 cup of Ashwaganda tea
Dinner:
Large lamb Gyro with red onions, chopped seasoned tomatoes and loaded with Tzatziki Sauce and french fries, can of 7-up
Dessert and/or late night snack:
Amigthalota Greek almond biscuits, black and green olives,"
seltzermint555,"May 18, 2019 4:31PM","Yesterday
Breakfast: orange-flavored Greek yogurt, coffee
Lunch: 2 small quesadillas made with corn tortillas, spinach, mushrooms, onion & cheddar. Smoothie of almond milk, ice, 1 banana, fresh pineapple & hemp protein powder.
Dinner: 3 slices medium pepperoni, pepper & black olive deep dish pizza from Dominos.
Today
Breakfast: 2 slices toast, one with lemon curd & one with 1/2 smashed avocado. 1 fried egg, coffee.
Post-5k Lunch: regular order of cashew chicken, sauce on the side & no rice. Steamed broccoli. 1 crab rangoon.
Dinner: huge salad with red leaf lettuce, kale & arugula, flakes of crab meat, green onion, diced tomato & Thai chili sauce as dressing. Probably enjoy 1/2 almond chocolate bar afterward."
NewLIFEstyle4ME,"May 18, 2019 8:18PM","Breakfast:
1 cup of emperor puh erh tea, 1 cup of white rose tea
Lunch:
Avocalado smoothie (an avocado, big hands full of baby spinach and kale, frozen mango chunks, frozen pineapple chunks, frozen blueberries, blueberry kefir, dole pina colada juice)
Dinner:
BBQ spare ribs, potato salad, devilled egg, collard greens/cabbage mix, sweet ice tea to drink
Dessert and/or late night snack:
slice of plain cheesecake w/fresh blueberries, strawberries, blackberries on top"
NewLIFEstyle4ME,"May 19, 2019 5:25PM","Breakfast:
cup of dandelion root tea, cup of milk oolong tea
Lunch:
avocado caesar salad, baked potato loaded with butter/cheese/bacon/sour cream, rib-eyed steak (well done), garlic baby bok choy, ice water to drink
Dinner:
cup of roasted garlic tea, cup of emperor pu erh tea
Dessert and/or late night snack:
slice of plain cheesecake w/fresh blueberries, strawberries, blackberries"
Losingweightforgood2019,"May 19, 2019 6:31PM",Keto mozzeralla garlic sticks!
